排泄は下ネタってのはカッシーが勝手に言ってるだけだよ,https://cdn.discordapp.com/attachments/623766630903578645/694174765635862538/unknown.png
ジャングルは君の股間にあるよ,https://cdn.discordapp.com/attachments/623766630903578645/694175063712333845/image0.jpg
恋の予感だよ,https://cdn.discordapp.com/attachments/623766630903578645/694174981357174804/image0.jpg
えっちしよ,https://cdn.discordapp.com/attachments/623766630903578645/694174431769133110/unknown.png
それはないよ,https://cdn.discordapp.com/attachments/623766630903578645/694174488174002266/image0.jpg
汗がで、出ますよ,https://cdn.discordapp.com/attachments/623766630903578645/694174242127872140/image0.png
お前にメンション権ねえよ,https://cdn.discordapp.com/attachments/623766630903578645/694174035180781578/unknown.png
あいたいよぉ…,https://cdn.discordapp.com/attachments/623766630903578645/694173903052079104/unknown.png
そうだよ,https://cdn.discordapp.com/attachments/623766630903578645/694173894466076672/image0.jpg
ウルタンおかしいよ,https://cdn.discordapp.com/attachments/623766630903578645/694173807287599114/image0.jpg
@ウルタン 喋れよ,https://cdn.discordapp.com/attachments/623766630903578645/694173669051727933/unknown.png
マジかよ,https://cdn.discordapp.com/attachments/623766630903578645/694173351278673980/unknown.png
カッシーくん、会話しようよ！,https://cdn.discordapp.com/attachments/623766630903578645/694173051180548116/unknown.png
運、いいよ,https://cdn.discordapp.com/attachments/623766630903578645/694172641736655019/unknown.png
おもしろくないよ,https://cdn.discordapp.com/attachments/623766630903578645/694172487595982878/unknown.png
だまれよ,https://cdn.discordapp.com/attachments/623766630903578645/694172361515335720/unknown.png
ガチでやってても自然と下がるよ,https://cdn.discordapp.com/attachments/623766630903578645/694170480613130310/image4.jpg
かりんとうが髪についてるよ,http://cdn.discordapp.com/attachments/623766630903578645/694170480193830994/image3.jpg
漏らしてんじゃねーよ,https://cdn.discordapp.com/attachments/623766630903578645/694170481397596241/image6.jpg
ゴゴさんラピに魂売ったからロング弱体化したよ,https://cdn.discordapp.com/attachments/623766630903578645/692549954484568145/unknown.png
嘘つくなよ…ガチで,https://cdn.discordapp.com/attachments/623766630903578645/694175990284550245/image0.png
